Cell_mean_intensity,Nuclei_mean_intensity,Cyto_mean_intensity,Marker,Location,Id
689.2961224489796,1382.5948215535338,403.8671852492077,Cyclin E,1,3
975.7761224489795,1391.0531840447866,804.8078363583982,EMMPRIN,1,3
212.3112244897959,252.0524842547236,195.94987035436475,Wnt1,1,3
1126.6708163265307,2207.4947515745275,681.6989340247767,Non-phospho-B-catenin,1,3
550.2928571428571,685.6990902729182,494.54652837798903,APC,1,3
145.20551020408163,157.31070678796362,140.22183808700663,DKK1,1,3
768.2565306122449,1500.6445066480055,466.7346585998271,DKK2,1,3
414.7365306122449,508.741077676697,376.035148372227,AXIN1,1,3
306.7826530612245,490.9706088173548,230.9530394698934,Cyclin D1,1,3
21.409591836734695,12.40517844646606,25.11668107173725,p-AKT,1,3
51.42775510204082,39.48005598320504,56.346585998271394,phospho-B-catenin,1,3
74.8730612244898,76.44996501049685,74.2238547968885,RNF 43,1,3
233.57632653061225,241.2183344996501,230.4301354076635,AKT,1,3
64.52469387755102,52.02239328201539,69.6718524920772,p-mTOR,1,3
76.85551020408164,75.02799160251925,77.6078939786805,mTOR,1,3
276.80412815478184,1396.4199237368923,151.74668583293405,Cyclin E,1,4
580.2764714333605,1650.2554814108676,460.76329659798756,EMMPRIN,1,4
185.6752550165222,431.9899904671115,158.16270031411383,Wnt1,1,4
717.0733202432833,2613.8808388941848,505.20609061385295,Non-phospho-B-catenin,1,4
635.1568411474547,1170.8951382268826,575.3166160890166,APC,1,4
125.5419280685791,197.28455672068637,117.52850982271202,DKK1,1,4
300.2665102246061,1647.6625357483317,149.76675717404035,DKK2,1,4
339.02892581772903,708.7445185891326,297.73289676835435,AXIN1,1,4
236.29189215075905,622.2492850333651,193.1817068625885,Cyclin D1,1,4
213.4346056223361,1115.2540514775976,112.70430708619496,p-AKT,1,4
115.50658493367176,433.1582459485224,80.02592770058031,phospho-B-catenin,1,4
81.47876059575691,126.16920877025738,76.48698291007827,RNF 43,1,4
222.26473827881807,918.7135367016206,144.47367300218284,AKT,1,4
121.09487093530004,356.6811248808389,94.78065271788319,p-mTOR,1,4
95.7878454097026,156.42516682554813,89.0148538572113,mTOR,1,4
1009.027514231499,2160.3385093167703,773.6782630777044,Cyclin E,1,5
2426.212312882142,5067.5863354037265,1886.2666328085322,EMMPRIN,1,5
373.9901960784314,741.8962732919255,298.78339258506855,Wnt1,1,5
1140.5105418511491,2366.833540372671,889.8274504824784,Non-phospho-B-catenin,1,5
864.213367067257,1522.9919254658384,729.5468511934993,APC,1,5
148.72053552603836,178.9167701863354,142.54786693753175,DKK1,1,5
818.5351043643263,1708.391304347826,636.6320467242255,DKK2,1,5
419.887834703774,635.9993788819876,375.71063991874047,AXIN1,1,5
357.45540796963945,516.539751552795,324.9356272219401,Cyclin D1,1,5
569.488403963736,1030.644099378882,475.21965464702896,p-AKT,1,5
269.9198819312671,407.54658385093165,241.78643981716607,phospho-B-catenin,1,5
92.27377187434114,93.7944099378882,91.9629253428136,RNF 43,1,5
489.52234872443603,783.7534161490684,429.37607922803454,AKT,1,5
296.60879190385833,373.6186335403727,280.86655662772984,p-mTOR,1,5
105.36042589078642,116.93416149068322,102.9945403758253,mTOR,1,5
464.2918770371317,804.227490421456,340.5388370673873,Cyclin E,1,7
546.2863807758675,554.9255268199233,543.1413128759481,EMMPRIN,1,7
160.26004984981145,114.20330459770115,177.02693749455148,Wnt1,1,7
582.373873585991,1248.651101532567,339.81666811960594,Non-phospho-B-catenin,1,7
652.0136767431457,618.441091954023,664.2357248714148,APC,1,7
133.55122387678148,135.6089559386973,132.80210966785808,DKK1,1,7
409.1869367929955,865.9504310344828,242.90288553744224,DKK2,1,7
286.5807503035726,336.60536398467434,268.369366227879,AXIN1,1,7
315.2837604652649,470.80411877394636,258.6668119605963,Cyclin D1,1,7
250.80060075413817,475.6585249042146,168.94141748757738,p-AKT,1,7
191.37834728701986,231.54454022988506,176.75590619823905,phospho-B-catenin,1,7
103.79829999360899,105.79310344827586,103.07209484787725,RNF 43,1,7
157.86438294880807,310.3943965517241,102.33606485921018,AKT,1,7
165.68607400779703,240.32112068965517,138.51529945078894,p-mTOR,1,7
111.49095673292005,109.933908045977,112.05779792520269,mTOR,1,7
473.3986322144962,977.7044424297371,400.5315212051744,Cyclin E,1,8
515.4479068303431,752.2987307343608,481.2253479613558,EMMPRIN,1,8
159.29810856439752,191.93902991840434,154.58182413623712,Wnt1,1,8
674.1391535754142,1662.109927470535,531.3873260193221,Non-phospho-B-catenin,1,8
702.1443900764015,821.7377606527651,684.8643523825119,APC,1,8
138.53541076487252,158.87352674524024,135.59675781889635,DKK1,1,8
538.0838126305548,1216.1996826835903,440.10289831341083,DKK2,1,8
377.77752024494237,537.4510426110608,354.7063042410349,AXIN1,1,8
492.02128938106273,849.3773798730734,440.38693302767314,Cyclin D1,1,8
441.50845566143016,889.5226654578422,376.7749140330768,p-AKT,1,8
260.8218445073969,369.32932910244784,245.1436056983789,phospho-B-catenin,1,8
100.47695081122843,108.16953762466002,99.36544948419846,RNF 43,1,8
528.0146221421008,1099.996826835902,445.36895365973476,AKT,1,8
302.3046613443214,569.4605621033545,263.70332405436386,p-mTOR,1,8
114.2288322316651,189.17293744333637,103.40016374652039,mTOR,1,8
348.9779802581625,606.2100750267953,269.45593108018556,Cyclin E,1,9
310.28170083523156,402.7052518756699,281.70941020543404,EMMPRIN,1,9
144.71399645659326,111.06216505894963,155.117296222664,Wnt1,1,9
330.27182991647686,991.5316184351555,125.84658714380384,Non-phospho-B-catenin,1,9
587.0032903062515,479.2443729903537,620.3164347249834,APC,1,9
123.83421918501645,125.85852090032154,123.20841616964877,DKK1,1,9
240.36269298911668,672.3997856377277,106.80053015241882,DKK2,1,9
416.6904581118704,340.8703108252947,440.129887342611,AXIN1,1,9
297.58238420653,440.60878885316185,253.3664678595096,Cyclin D1,1,9
112.73475069602632,306.6934619506967,52.77335984095428,p-AKT,1,9
154.65907365223993,188.12004287245446,144.31477799867463,phospho-B-catenin,1,9
98.07061503416857,98.62272240085746,97.89993373094765,RNF 43,1,9
45.44393824348266,137.41264737406217,17.012259774685223,AKT,1,9
92.0612503163756,128.5519828510182,80.78031809145129,p-mTOR,1,9
105.47431030118958,100.79421221864952,106.92113982770046,mTOR,1,9
1163.4081379400432,2302.341960784314,935.8177258835515,Cyclin E,1,10
1206.1743191169746,2373.8145098039217,972.8475824778623,EMMPRIN,1,10
327.23682319900723,563.8890196078431,279.9471828226628,Wnt1,1,10
1344.2274835085886,2880.990980392157,1037.1397225922733,Non-phospho-B-catenin,1,10
825.8841355887923,1301.809019607843,730.7812083692501,APC,1,10
195.8553980798119,230.07294117647058,189.01778857456313,DKK1,1,10
1057.0683822088695,2177.490588235294,833.1771021079853,DKK2,1,10
511.73855398079814,838.3086274509803,446.48084005955644,AXIN1,1,10
574.0092090653778,879.1003921568628,513.0435702531149,Cyclin D1,1,10
832.2159885049964,1481.6117647058823,702.448789279837,p-AKT,1,10
421.12219972568744,648.6580392156862,375.65425907060575,phospho-B-catenin,1,10
144.69100646593952,153.18313725490196,142.99404435389076,RNF 43,1,10
885.7100124093789,1335.8972549019609,795.7501763184704,AKT,1,10
461.37776761805236,646.4211764705882,424.4009873834339,p-mTOR,1,10
150.04937626543008,161.80705882352942,147.69986678160018,mTOR,1,10
567.4501506780513,1022.2741232227488,342.23692856472354,Cyclin E,1,11
529.996546961326,537.2894786729858,526.3853374636253,EMMPRIN,1,11
147.980223505776,120.0291943127962,161.8206139115742,Wnt1,1,11
761.6118784530387,1594.622559241706,349.1335773960387,Non-phospho-B-catenin,1,11
754.6311526870919,693.7440758293839,784.7803435651929,APC,1,11
138.49039427423406,146.8094786729858,134.37106918238993,DKK1,1,11
602.4644650929181,1193.0737440758294,310.0150192434056,DKK2,1,11
352.0216599698644,428.9177251184834,313.9453675021121,AXIN1,1,11
351.07012807634356,449.96549763033175,302.10053506054635,Cyclin D1,1,11
392.59329482672024,753.845308056872,213.71369567258049,p-AKT,1,11
236.34203917629333,331.1292890995261,189.40664601520697,phospho-B-catenin,1,11
109.09097187343043,114.3442654028436,106.48972120529429,RNF 43,1,11
304.94393520843795,599.0339336492891,159.32066084670984,AKT,1,11
216.0553114013059,312.76890995260663,168.1660565099033,p-mTOR,1,11
109.74535409342039,115.82445497630331,106.73519196470478,mTOR,1,11
821.9518549149338,1142.1640519078055,681.4286442838929,Cyclin E,1,12
860.2995628544423,838.5622699980631,869.8388440288993,EMMPRIN,1,12
259.95439508506615,192.00426108851443,289.7739056523587,Wnt1,1,12
1178.0604914933838,1871.1692814255277,873.8938376540586,Non-phospho-B-catenin,1,12
901.1608577504726,809.5595583962812,941.3595410114747,APC,1,12
152.82077032136107,157.5204338562851,150.75835104122396,DKK1,1,12
875.9015241020794,1357.8795274065467,664.3883552911177,DKK2,1,12
426.8788988657845,492.6891342242882,397.998470038249,AXIN1,1,12
524.7984404536862,603.6480728258764,490.1957501062473,Cyclin D1,1,12
729.2295014177694,1066.2473368196786,581.331236719082,p-AKT,1,12
376.97855623818526,462.07534379236876,339.6343391415215,phospho-B-catenin,1,12
114.56964792060492,118.72244818903738,112.74721631959201,RNF 43,1,12
677.1531781663516,975.5452256440054,546.2056098597535,AKT,1,12
363.367438563327,428.71663761379045,334.6893327666808,p-mTOR,1,12
111.56704867674858,113.62967267092776,110.66187845303867,mTOR,1,12
842.1592720970538,1202.7801896207584,650.262214551248,Cyclin E,1,13
794.9794627383015,863.6122754491018,758.4579129049389,EMMPRIN,1,13
327.1685441941074,230.73453093812375,378.48393520977163,Wnt1,1,13
1182.2775563258233,1888.3358283433133,806.5630642591609,Non-phospho-B-catenin,1,13
1003.4598786828423,924.1571856287425,1045.6591874668084,APC,1,13
160.37027729636048,159.29565868263472,160.94211364843335,DKK1,1,13
953.4637781629116,1422.6067864271456,703.8189060010621,DKK2,1,13
479.49584055459275,530.9585828343313,452.1109930961232,AXIN1,1,13
508.0304159445407,602.3008982035929,457.86630377057884,Cyclin D1,1,13
793.0010398613518,1124.813373253493,616.433882103027,p-AKT,1,13
380.1754766031196,464.7722055888224,335.1590546999469,phospho-B-catenin,1,13
107.66083188908145,117.10853293413173,102.63343069569835,RNF 43,1,13
840.2302426343155,1125.2148203592815,688.5815188528943,AKT,1,13
512.0144714038129,758.3510479041917,380.93149229952206,p-mTOR,1,13
109.18882149046794,121.27819361277444,102.75570897503982,mTOR,1,13
921.6821111516479,1214.1581325301204,828.1799069170278,Cyclin E,1,14
850.2283838015322,848.414156626506,850.8083774675013,EMMPRIN,1,14
326.80530220114315,280.14357429718876,341.7226769378912,Wnt1,1,14
1251.5336251976164,1872.1887550200804,1053.1152303001124,Non-phospho-B-catenin,1,14
861.3217803721269,899.6817269076305,849.058417589472,APC,1,14
157.7219992703393,158.4402610441767,157.49237682554968,DKK1,1,14
1009.3555879849204,1525.9076305220883,844.218103033221,DKK2,1,14
467.04207710081477,582.5020080321285,430.130476649013,AXIN1,1,14
541.560622643804,654.8488955823293,505.34328358208955,Cyclin D1,1,14
806.8684178523653,1079.5130522088352,719.7061466859252,p-AKT,1,14
401.6600997202967,496.1957831325301,371.4378109452736,phospho-B-catenin,1,14
108.04304998175849,113.52761044176707,106.2896806291125,RNF 43,1,14
817.9207102030889,1014.1265060240963,755.1953137538115,AKT,1,14
391.2467469293445,461.1089357429719,368.91237361579203,p-mTOR,1,14
104.42855405569743,105.30220883534136,104.14925373134328,mTOR,1,14
792.62527016765,1512.336742147553,565.4614970796188,Cyclin E,1,15
695.8923418423973,1089.5402970538105,571.6445588687366,EMMPRIN,1,15
233.22851802091245,276.8346725103482,219.46503227789734,Wnt1,1,15
1212.2729131374497,2319.4541027514,862.811404857055,Non-phospho-B-catenin,1,15
1036.8099772182954,1073.1431701972242,1025.3420688595143,APC,1,15
156.97973012442316,176.66423179936695,150.7666769136182,DKK1,1,15
889.3933056837432,1777.7703920136353,608.9933138641254,DKK2,1,15
476.8058881944039,724.4441197954711,398.6434060866892,AXIN1,1,15
506.1172965710614,687.0718285853421,449.0023055640947,Cyclin D1,1,15
